name,region,state,tier,tier_name,type,exp_instr_pc_2013,ipeds_enrollment_2013,sticker_price_2013,scorecard_netprice_2013,grad_rate_150_p_2013,avgfacsal_2013,sat_avg_2013,endowment_pc_2000,mr_kq5_pq1,mr_ktop1_pq1,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top5pc,par_top1pc,k_median,k_top5pc,k_top1pc,fy2016_endowment_pc,fy2016_endowment_thousands,log_endow_pc,is_ivy
Rensselaer Polytechnic Institute,1,NY,2,Other elite schools (private and public),2,16340.343,5452,47908,23115,0.8493788819875776,12145,1395,NA,0.030490816,0.0033770595,114200,0.047184251,0.088806197,0.12043013,0.22821431,0.51536512,0.14331169,0.024381246,84100,0.34958053,0.073526338,91927.99228,634916,11.4287608569587,FALSE
Rhodes College,3,TN,4,Highly selective private,2,13834.946,2027,41572,17008,0.7831858407079646,8035,1290,NA,0.012574136,0.0048445496,164400,0.021719659,0.050110903,0.097058021,0.12940815,0.70170319,0.40992972,0.1542792,52000,0.19690245,0.065409094,154870.8002,318053,11.950346501211058,FALSE
Rice University,3,TX,2,Other elite schools (private and public),2,35572.121,3965,40566,7799,0.9110512129380054,13468,1470,NA,0.01603426,0.0026360333,149200,0.032903127,0.055400196,0.098190367,0.14332509,0.67018121,0.31509456,0.071944341,76700,0.37363374,0.16690169,812331.1295,5324289,13.60766333096879,FALSE
Rollins College,3,FL,4,Highly selective private,2,10779.734,2608,43080,24545,0.6704761904761904,7767,NA,NA,0.0128005,7.8474492e-4,120800,0.056338571,0.10611024,0.13818792,0.16649286,0.53287041,0.34403479,0.15993068,42800,0.1498892,0.045143154,115150.5119,337391,11.653995350744811,FALSE
Santa Clara University,4,CA,4,Highly selective private,2,13014.673,5435,43812,22527,0.8401332223147376,11662,1300,NA,0.022468021,0.0019997966,149900,0.036217712,0.060836144,0.1054597,0.14669478,0.65079165,0.35654476,0.10844481,72500,0.32964963,0.093141884,108329.0954,840706,11.592929052493966,FALSE
Sarah Lawrence College,1,NY,4,Highly selective private,2,16999.908,1471,50780,22821,0.6914600550964187,9806,NA,NA,0.012169213,4.346796e-5,146500,0.035303123,0.050173916,0.099445447,0.17106196,0.64401555,0.35454121,0.12632087,34300,0.052418157,0.010665632,56374.55609,89955,10.939773202538944,FALSE
Scripps College,4,CA,2,Other elite schools (private and public),2,27007.305,990,47378,22193,0.8414096916299559,10598,1360,NA,0.025185836,0.0018967941,126300,0.051244065,0.073634446,0.13667499,0.17385992,0.56458664,0.28678873,0.082430147,46400,0.10768167,0.03508487,299880.365,295782,12.611138890769785,FALSE
Skidmore College,1,NY,4,Highly selective private,2,19077.725,2684,47314,8753,0.8592375366568914,9067,1240,NA,0.019758493,0.0013540173,175400,0.044441804,0.061012693,0.095092848,0.13006851,0.66938424,0.43079698,0.14186954,47500,0.15156384,0.041611489,124942.9299,326934,11.735612351228822,FALSE
Smith College,1,MA,4,Highly selective private,2,23380.418,2606,44724,8438,0.861280487804878,11800,NA,NA,0.018842867,0.0010955185,114900,0.050264381,0.087585129,0.1366027,0.20756751,0.51798022,0.25262228,0.05460548,46600,0.10203497,0.016995715,579582.9772,1627469,13.270064119087078,FALSE
Southern Methodist University,3,TX,4,Highly selective private,2,13813.917,6357,45940,19647,0.7901990811638591,11283,1310,NA,0.017678505,0.0030452067,176400,0.044499464,0.087756932,0.094763175,0.11861736,0.65436316,0.44958115,0.20762008,55400,0.24937883,0.0813272,141400.504,1383981,11.859351596794692,FALSE
Southwestern University,3,TX,4,Highly selective private,2,12705.229,1535,36120,14871,0.7008086253369272,7926,1155,NA,0.0076792287,1.6793523e-4,130600,0.031312697,0.061414946,0.11495206,0.19057512,0.60174513,0.24844129,0.068877213,50000,0.16383785,0.04049366,159430.5648,239943,11.979363776015722,FALSE
St. Lawrence University,1,NY,4,Highly selective private,2,13247.743,2414,47696,13202,0.8038277511961722,8789,NA,NA,0.020602625,0.0020208352,108400,0.060530484,0.079858646,0.15311313,0.22040436,0.48609334,0.18074282,0.052158859,49400,0.12736048,0.032164969,110697.6007,267593,11.61455744456844,FALSE
Stanford University,4,CA,1,Ivy Plus,2,67758.086,7274,44757,3516,0.957582800697269,19862,1475,NA,0.022457635,0.0066273212,172600,0.035795204,0.058271918,0.086171605,0.12980568,0.68995559,0.42007127,0.14479454,84800,0.43070355,0.20914166,1384423.727,22398130,14.140794529429165,TRUE
Swarthmore College,1,PA,2,Other elite schools (private and public),2,24915.334,1534,46060,10832,0.9342465753424658,12138,1450,NA,0.022861147,0.0060574315,135900,0.046533376,0.07791315,0.10337196,0.16131052,0.61087096,0.30420598,0.089766547,56700,0.2274792,0.088832922,1109651.916,1746962,13.919556934919957,FALSE
Syracuse University,1,NY,4,Highly selective private,2,13149.895,15097,41886,18699,0.8108020698576973,10822,1175,NA,0.029369734,0.001833383,119700,0.056894027,0.097166307,0.12083702,0.18631917,0.53878343,0.25874001,0.072329193,61100,0.21047939,0.049065743,57409.86915,1156828,10.957971503939437,FALSE
Texas Christian University,3,TX,4,Highly selective private,2,13246.397,8640,38600,18556,0.7596095179987797,10206,1180,NA,0.010120558,0.0013076975,142700,0.027070837,0.069262259,0.10407761,0.1657261,0.63386321,0.32393876,0.085260786,52200,0.18314987,0.054693084,143499.0173,1435899,11.87408346607474,FALSE
Trinity University,3,TX,4,Highly selective private,2,13965.813,2161,36214,15376,0.8161648177496038,9715,1265,NA,0.011731648,0,153200,0.024545144,0.058847964,0.095395342,0.1612277,0.65998387,0.3634201,0.089625113,58100,0.22276013,0.067861579,455971.4206,1084908,13.030185412409612,FALSE
Tufts University,1,MA,2,Other elite schools (private and public),2,19334.611,5180,48643,10325,0.921897810218978,11427,1440,NA,0.021266045,0.003530148,187900,0.034208201,0.055438161,0.074133776,0.12855855,0.70766133,0.46011913,0.14427018,73100,0.32391316,0.10815921,148868.2732,1562968,11.910817121421818,FALSE
Vanderbilt University,3,TN,2,Other elite schools (private and public),2,69294.281,6835,43838,7411,0.9251944943147816,12871,1505,NA,0.014718471,0.0032208243,197900,0.024821995,0.051126383,0.093465075,0.12394075,0.70664579,0.48275676,0.21908806,72800,0.33388224,0.12227267,316922.1691,3822187,12.666411499369778,FALSE
Vassar College,1,NY,2,Other elite schools (private and public),2,24883.471,2477,49570,4456,0.9364844903988184,11065,1405,NA,0.010944489,5.9604581e-4,145100,0.033592291,0.056659386,0.10585788,0.18328077,0.62060976,0.33271539,0.084441915,46000,0.12650825,0.033823941,382909.9904,928812,12.855555228532689,FALSE
Villanova University,1,PA,2,Other elite schools (private and public),2,13403.059,7042,45966,20259,0.9008109794135996,10425,1310,NA,0.013182082,0.0017423135,159900,0.022712095,0.043972466,0.080342673,0.15062495,0.70234782,0.36739397,0.10295064,78300,0.34198081,0.097455688,63403.06064,551036,11.057267414338977,FALSE
Wake Forest University,3,NC,2,Other elite schools (private and public),2,24492.465,4823,46200,21854,0.8646482635796973,10928,NA,NA,0.0072119986,0.0010160973,191500,0.017875917,0.036367275,0.079176322,0.12709767,0.73948276,0.46440649,0.16580261,71500,0.32576084,0.10332924,150403.4178,1141211,11.921076414973717,FALSE
Wellesley College,1,MA,2,Other elite schools (private and public),2,30108.783,2474,45078,10495,0.9067796610169492,12025,1385,NA,0.024083447,0.0044665784,142500,0.055223361,0.06853056,0.11533938,0.15284421,0.60806239,0.34042293,0.099150375,56300,0.21270053,0.06806884,743739.511,1784479,13.519446132885388,FALSE
Wesleyan University,1,CT,2,Other elite schools (private and public),2,21727.469,2906,47972,5736,0.9154160982264664,11163,NA,NA,0.019636208,0.0019171118,165300,0.041971348,0.056261145,0.079463735,0.14462636,0.67767739,0.40880695,0.13542680000000001,56500,0.19120903,0.059198409,254165.3465,770121,12.445740304683744,FALSE
Westmont College,4,CA,4,Highly selective private,2,14018.855,1308,39990,22886,0.7577319587628866,9329,1170,NA,0.010913183,0,132100,0.037199788,0.052724354,0.12012423,0.19069502,0.59925663,0.29038101,0.093377963,47600,0.13235609,0.037846915,57902.7027,74984,10.966519341228144,FALSE
Whitman College,4,WA,2,Other elite schools (private and public),2,15977.549,1541,44800,16483,0.8775,8715,1315,NA,0.0088804727,0,138200,0.027092017,0.041661683,0.11105698,0.18269017,0.63749903,0.28303698,0.059529841,48500,0.14207183,0.035852693,331019.8614,477772,12.709933656788625,FALSE
Wofford College,3,SC,4,Highly selective private,2,9669.8057,1615,37120,24441,0.8155844155844156,7867,1165,NA,0.011826379,0,133400,0.037601516,0.066300757,0.091035143,0.19213963,0.61292303,0.28647041,0.085844465,55100,0.21373278,0.060001686,104380.5006,172367,11.555798161123823,FALSE
Worcester Polytechnic Institute,1,MA,4,Highly selective private,2,13702.031,4134,44222,26228,0.8124223602484472,8598,NA,NA,0.021758402,0.0011657587,109500,0.032200336,0.077073932,0.14996967,0.25347868,0.48727742,0.14080228,0.019953895,85200,0.35997632,0.046802469,84749.50021,466320,11.347455127998169,FALSE
Yale University,1,CT,1,Ivy Plus,2,112324.66,5430,45800,7596,0.9779131759329778,16042,1505,NA,0.020817067,0.0038495241,199700,0.03632801,0.04799705,0.069016039,0.1149541,0.73170477,0.48185879,0.17610745,76000,0.40043584,0.18460262,2066579.911,25408600,14.541405581917699,TRUE
