super_opeid,name,region,state,tier_name,type,exp_instr_pc_2013,ipeds_enrollment_2013,sticker_price_2013,scorecard_netprice_2013,grad_rate_150_p_2013,avgfacsal_2013,sat_avg_2013,endowment_pc_2000
2955,Pfeiffer University,3,NC,Selective private,2,4272.0776,951,25855,19427,0.4814814814814815,5808,985,NA
3354,Philadelphia University,1,PA,Selective private,2,8231.7793,2811,34880,19424,0.5826558265582655,7818,1075,NA
1103,Philander Smith College,3,AR,Selective private,2,4982.6094,556,12564,19109,0.4496124031007752,4598,NA,NA
1588,Piedmont College,3,GA,Selective private,2,5553.9907,1281,21350,14919,0.4611111111111111,5734,955,NA
1926,Pittsburg State University,2,KS,Selective public,1,5206.3257,6236,6230,9279,0.4947807933194155,6987,NA,5473.6938
1172,Pitzer College,4,CA,Highly selective private,2,21433.299,1081,47020,11907,0.8214285714285714,10084,NA,NA
2591,Plymouth State University Of The University System Of New Hampshire,1,NH,Selective public,1,7078.6523,4065,12677,15211,NA,8065,NA,NA
1262,Point Loma Nazarene University,4,CA,Selective private,2,8512.0156,2556,31406,23653,0.720754716981132,9653,1115,NA
3357,Point Park University,1,PA,Selective private,2,6962.1479,3226,27190,20216,0.497767857142857,7853,990,NA
1514,Polk State College,3,FL,Nonselective four-year public,1,2433.5464,11085,3315,8718,NA,6052,NA,936.06079
1173,Pomona College,4,CA,Other elite schools (public and private),2,29610.455,1610,45832,4712,0.9573333333333331,12326,1460,NA
3216,Portland State University,4,OR,Selective public,1,5916.0928,22927,7794,11306,0.416958654519972,8286,1030,108.91069
3630,Prairie View Agricultural & Mechanical University,3,TX,Selective public,1,4736.3286,6731,9461,7829,0.3652048885693746,7307,850,3677.3086
2798,Pratt Institute,1,NY,Nonselective four-year private not-for-profit,2,11335.957,3311,44804,37539,0.6247755834829444,9254,1130,NA
3445,Presbyterian College,3,SC,Selective private,2,9140.1855,1123,34828,12256,0.6758620689655173,7217,1090,NA
2627,Princeton University,1,NJ,Ivy Plus,2,37336.176,5323,41820,5932,0.9694288012872084,15711,1500,NA
3406,Providence College,1,RI,Highly selective private,2,10387.304,4135,44323,20605,0.8503538928210314,9471,NA,NA
1825,Purdue University,2,IN,Selective public,1,13780.197,30446,10002,7228,0.7036807918342097,11005,1205,15273.521
1827,Purdue University - Calumet,2,IN,Selective public,1,5145.9551,8390,6830,8924,0.3097731239092496,7937,965,594.59998
1826,Purdue University - North Central,2,IN,Nonselective four-year public,1,2695.468,6054,6796,6396,0.2635542168674699,6971,955,173.7719
2957,Queens University Of Charlotte,3,NC,Selective private,2,6943.5864,1734,30569,20805,0.5208333333333334,4064,1040,NA
1745,Quincy University,2,IL,Selective private,2,4239.8623,1196,26572,15438,0.5042735042735043,5436,925,NA
1402,Quinnipiac University,1,CT,Highly selective private,2,11963.098,6542,40670,26380,0.7627118644067796,8649,1090,NA
3732,Radford University,3,VA,Selective public,1,6819.9648,8913,9360,9789,0.5853260869565218,7705,975,2913.0371
9344,Ramapo College Of New Jersey,1,NJ,Highly selective public,1,8196.4932,5614,13388,9199,0.7282850779510023,9521,1090,224.0616
3733,Randolph - Macon College,3,VA,Selective private,2,8538.1934,1315,36340,19950,0.6224489795918368,7406,1085,NA
3734,Randolph College,3,VA,Selective private,2,13368.915,665,34110,18847,0.5224719101123596,7193,1075,NA
12500,Ranken Technical College,2,MO,Nonselective four-year private not-for-profit,2,2692.3611,2097,14457,17035,0.4375,4900,NA,NA
3217,Reed College,4,OR,Other elite schools (public and private),2,18306.633,1395,47760,12374,0.8189910979228487,10092,1385,NA
2206,Regis College,1,MA,Selective private,2,5616.561,1188,35750,33692,0.4866920152091255,7055,NA,NA
1363,Regis University,4,CO,Selective private,2,4531.7817,5172,33060,17088,0.5807365439093485,6685,1070,NA
1589,Reinhardt University,3,GA,Selective private,2,5654.4453,1217,19196,17738,0.2820512820512821,5710,992.5,NA
2803,Rensselaer Polytechnic Institute,1,NY,Other elite schools (public and private),2,16340.343,5452,47908,23115,0.8493788819875776,12145,1395,NA
3407,Rhode Island College,1,RI,Selective public,1,5388.7354,7505,7602,6016,0.4292237442922374,7607,920,NA
3409,Rhode Island School Of Design,1,RI,Nonselective four-year private not-for-profit,2,19315.066,2005,44594,32629,0.8732394366197183,7949,1245,NA
3519,Rhodes College,3,TN,Highly selective private,2,13834.946,2027,41572,17008,0.7831858407079646,8035,1290,NA
3604,Rice University,3,TX,Other elite schools (public and private),2,35572.121,3965,40566,7799,0.9110512129380054,13468,1470,NA
9345,Richard Stockton College Of New Jersey,1,NJ,Selective public,1,7278.2939,7539,12568,13754,0.654911838790932,9242,1090,524.81403
2628,Rider University,1,NJ,Selective private,2,10731.085,4425,36830,17452,0.6575757575757576,10318,1025,NA
