SUPER_OPEID,mr_kq5_pq1,mr_ktop1_pq1,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top5pc,par_top1pc,k_median,k_top5pc,k_top1pc
2013,0.019494791,0.001877796,66500,0.15701525,0.17509611,0.21471825,0.25279474,0.20037565,0.037861176,0.003121776,35600,0.054741431,0.013299282
40,0.02137957,0.0014574247,94300,0.086616978,0.11423227,0.15894826,0.25059152,0.38961095,0.10877602,0.019956596,44000,0.13188858,0.029648913
2008,0.022207914,9.081536e-4,81500,0.10710856,0.14097172,0.19371086,0.26685375,0.29135513,0.054908175,0.0094991336,42200,0.10350459,0.019997176
3069,0.001718455,0,81600,0.05085849,0.1504329,0.19080888,0.36938402,0.23851578,0.0060114241,0.0030706287,27600,0.0012164286,0.0010960773
3782,0.018373653,0,72200,0.13621354,0.14325568,0.22402407,0.337933,0.15857372,0.018191781,0.0027879435,28400,0.025524823,0.0015419653
11649,0.024588708,0.0016685484,131800,0.05359913,0.095755287,0.11210898,0.15935838,0.57917821,0.29893836,0.086172074,56200,0.18749973,0.045171659
1710,0.030813236,0.0018193674,98600,0.081878081,0.10284277,0.1553098,0.2301515,0.42981786,0.15617537,0.037387304,53500,0.16618545,0.039216083
2078,0.0067202942,8.5558172e-4,151200,0.016884405,0.044191934,0.082039878,0.17723295,0.6796509,0.32255486,0.07546936,69800,0.27878329,0.071334913
2016,0.015620732,0.0015042003,113800,0.054181024,0.09901002,0.12348485,0.20940006,0.513924,0.20338193,0.051247224,42800,0.10808825,0.018747626
3586,0.015160448,3.336609e-5,71900,0.10603444,0.15946174,0.23948948,0.28632987,0.20868438,0.036917176,0.0027859202,37900,0.055204835,0.0064810505
9962,0.021788014,1.1663215e-4,27700,0.36673823,0.36101916,0.16365509,0.081239313,0.02734825,0.0079114223,0.0014807088,19900,0.011997544,0.0010798898
8988,0.030915163,0.0015431145,44200,0.28728709,0.22791618,0.2389522,0.16662937,0.079215214,0.010959726,0.001274017,23000,0.029472437,0.013636982
1874,0.0098190969,0,101300,0.030563246,0.073341355,0.18492585,0.28270555000000003,0.42846406,0.13060442,0.026099466,46300,0.095522597,0.020391624
6811,0.014089641,2.3401169e-4,61100,0.13592371,0.2155028,0.28680664,0.24984542,0.11192143,0.0079694409,0.0021884309,29200,0.020194057,9.6611481e-4
3293,0.0045768674,0,83600,0.042095877,0.1238447,0.21264991,0.349828,0.2715815,0.060929198,0.0083909202,47100,0.068246223,0.010485969
1505,0.01754616,0.0012776159,149800,0.073788531,0.083754547,0.11725978,0.14364894,0.58154815,0.39664373000000003,0.17499948,28300,0.08245521,0.020419549
215,0.033046082,0.0010594841,94100,0.066638768,0.11090818,0.1853255,0.25174096,0.38538656,0.1020248,0.016902633,65500,0.20277682,0.031436913
2165,0.093435071,0.0096385116,83300,0.10234574,0.12778868,0.21330816,0.2550742,0.30148327,0.054777633,0.0077554816,112700,0.59823561,0.063397571
12912,0.014236747,0,48400,0.16457713,0.27256683,0.24708132,0.22441258,0.091362238,0.013232438,0.0041159946,32300,0.033244036,0.0014337322
1717,0.023021029,0.0020482736,75500,0.10306915,0.17030893,0.24578506,0.27187395,0.20896295,0.023068238,0.0010593419,38600,0.027678408,0.0059713228
2358,0.0139422,1.2773109e-4,115500,0.04760595,0.0804919,0.14552014,0.20309329,0.52328873,0.22699536,0.048453167,47000,0.10600132,0.028747361
8906,0.010318959,5.0537172e-4,93000,0.063909069,0.10944957,0.17100756,0.31076726,0.34486657,0.034419108,0.0037186162,32200,0.029953808,0.0042353524
4007,0.0076195607,1.3695756e-5,74800,0.079094827,0.1576644,0.24792278,0.31537929,0.19993863,0.030370504,0.0051451144,30400,0.014540896,0.0018002271
10913,0.004344942,1.6838273e-4,80400,0.065569937,0.14297511,0.22472383,0.30237851,0.26435259,0.026519338,0.0081812907,34200,0.015070997,0.0017000716
2282,0.016361732,5.9531321e-6,100700,0.066028446,0.099153355,0.13989638,0.29318234,0.40173954,0.054801419,0.0059299408,41400,0.052662734,0.0083757266
2044,0.034627073,0.0069370558,85300,0.075922795,0.1570234,0.18131277,0.26941913,0.31632191,0.060362518,0.0058829128,75900,0.36346644,0.10962883
3072,0.010476858,9.7482634e-4,79000,0.05719481,0.14465722,0.25067475,0.32570302,0.2217702,0.045593426,0.0077699814,37500,0.045273431,0.011222325
1392,0.014471967,5.8623182e-4,81700,0.092783764,0.14520361,0.19446157,0.30024049,0.26731053,0.028597102,0.001421566,35200,0.024676269,0.0029566158
2582,0.0093454216,1.6685034e-6,79400,0.066254616,0.1402474,0.23614021,0.28711879,0.27023903,0.032652024,0.0046446449,32800,0.019022552,0.0022845715
1820,0.0044042668,0,81400,0.043079164,0.11526468,0.25823393,0.32122645,0.2621958,0.04559575,0.0088922679,39900,0.039661013,0.01239991
2760,0.0348414,0.0012057176,95400,0.084173411,0.10768852,0.17518866,0.22374219,0.40920728,0.14351447,0.032543462,48900,0.12352856,0.017845569
3294,0.014516089,0.0034306145,78400,0.074415244,0.16317379,0.24927741,0.2736991,0.23943448,0.051958341,0.010420077,33700,0.043812204,0.0049162353
3324,0.010778463,5.2264595e-4,70300,0.085311294,0.17988928,0.26104137,0.29486936,0.17888875,0.020554556,6.6266925e-4,38400,0.038840581,0.005135803
23172,0.0090863556,9.5572723e-5,68000,0.082019843,0.1587761,0.35529569,0.27297413,0.13093416,0.030036332,0.0064078276,24200,0.047298595,0.0078698723
3861,0.0067669936,7.1405222e-5,80900,0.05793852,0.13415995,0.2255875,0.33049655,0.25181755,0.042443544,0.0076405555,38900,0.029282667,0.0025740913
3073,0.016607501,8.2171191e-6,85300,0.047963165,0.11500385,0.2167609,0.31277433,0.30749768,0.069860294,0.014386578,46800,0.13753009,0.053817321
116,0.0073281811,3.5443147e-5,44200,0.2539559,0.25835186,0.19812001,0.17803711,0.11153499,0.029437171,0.0043529687,11400,0.0015007536,3.6491416e-5
10736,0.005517846,0,62400,0.10376383,0.22880799,0.31029484,0.26169786,0.095435627,0.012816582,0.0020191323,29800,0.0082981866,1.9126295e-4
2765,0.017162638,0.0018030145,119300,0.048714951,0.087502457,0.11276101,0.19783981,0.55318183,0.15603577,0.024573555,59500,0.18139865,0.038617961
3863,0.011462465,8.4768678e-4,124800,0.027533337,0.05864165,0.11006212,0.22035825,0.58340454,0.22018613,0.054979477,60100,0.1815597,0.039403487
2944,0.013681385,4.2104708e-5,72900,0.11644681,0.14957909,0.24582934,0.26306778,0.225077,0.042256683,0.005841868,34300,0.040112808,0.008722594
3815,0.016595608,3.3210564e-4,76400,0.094283551,0.14799976,0.22672763,0.28817138,0.24281761,0.041008085,0.0070618005,35400,0.063238062,0.013018359
1875,0.018009849,6.9515998e-5,68500,0.1192876,0.15879375,0.29298913,0.32896572,0.099963889,0.0095792077,0.0018564415,35400,0.018610964,0.0013648069
7988,0.012756295,8.0199265e-5,37700,0.36277643,0.19674447,0.18389986,0.17870285,0.077876389,0.0066549783,1.8411182e-4,22200,0.010750293,5.2695e-4
3504,0.036278673,1.0258463e-4,62000,0.191098,0.20013785,0.24260962,0.23377575,0.1323788,0.027289415,6.8146858e-4,37000,0.025387462,0.0013150406
3723,0.011975961,0,81100,0.073298194,0.15183285,0.21865495,0.28314587,0.27306816,0.063844666,0.002431348,38700,0.03379637,4.1494405e-4
2080,0.015447689,6.4701715e-5,117100,0.054411575,0.0829143,0.15419945,0.17901142,0.52946317,0.17388183,0.02621454,31300,0.048715144,0.0019444634
10474,0.018336337,0.0024247994,104900,0.11168693,0.14642362,0.10700309,0.16259441,0.47229198,0.32055667,0.14425531,31300,0.048470177,0.0032593901
2769,0.032945585,9.7015925e-4,91100,0.11929654,0.13791536,0.16001898,0.18314017,0.39962906,0.14058776,0.041751683,35800,0.075957499,0.0094410684
